Year,Author,Title,US Publisher,Category,Source language,Harris evidence,Confidence
2006,Batya Gur,Murder in Jerusalem (Michael Ohayon #6),HarperCollins,COMMERCIAL/GENRE,Hebrew,"Batya Gur on agency author page. HarperCollins 2006 (0060852941), published posthumously (Gur d. 2005). Crime.",confirmed (agency roster)
2006,Amir Gutfreund,Our Holocaust,The Toby Press,ISRAELI-LITERARY,Hebrew,"Toby Press 2006 US edition (New Milford, CT) confirmed via USHMM catalog (https://collections.ushmm.org/search/catalog/bib117124), AbeBooks first-edition listing, Wikipedia. Harris rep confirmed by DHA author roster/profile: https://www.thedeborahharrisagency.com/authors/amir-gutfreund . Novel, trans. Jessica Cohen (Hebrew orig. 'Shoah Shelanu', 2000). FLAG: Toby Press has CT + London offices; treated as US publisher on its New Milford, CT imprint.",confirmed (agency roster)
2006,Sayed Kashua,Let It Be Morning,Grove Press (Black Cat),ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Grove Press/Black Cat 2006 (https://groveatlantic.com/book/let-it-be-morning/; https://www.amazon.com/dp/0802170218). Novel, trans. from Hebrew.",confirmed (agency roster)
2007,Michal Govrin,Snapshots,Riverhead Books,ISRAELI-LITERARY,Hebrew,"US publisher/year via Penguin Random House (https://www.penguinrandomhouse.com/books/292531/snapshots-by-michal-govrin/) and DHA's own book page listing 'Riverhead NY' (https://www.thedeborahharrisagency.com/fiction/snapshots). Harris rep confirmed on current + archived DHA author rosters. Novel. (Govrin's 'The Name', Riverhead 1998, excluded as pre-2000.)",confirmed (agency roster)
2007,Matt Rees,The Collaborator of Bethlehem (Omar Yussef #1),Soho Press (Soho Crime),COMMERCIAL/GENRE,English,Matt Rees on agency author page. sohopress.com; Soho Crime Feb 2007. Mystery written in English.,confirmed (QC-verified deal)
2007,Meir Shalev,A Pigeon and a Boy,Schocken Books,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed: Meir Shalev on Deborah Harris Agency roster (https://www.thedeborahharrisagency.com/author; page https://www.thedeborahharrisagency.com/authors/meir-shalev). US pub: Schocken 2007 (https://www.jewishbookcouncil.org/book/a-pigeon-and-a-boy). Novel, trans. from Hebrew.",confirmed (agency roster)
2008,Evan Fallenberg,Light Fell,Soho Press,ENGLISH-LITERARY,English,"Listed on DHA fiction roster; https://www.thedeborahharrisagency.com/fiction ; debut novel, Soho Press 2008 (Stonewall Book Award). Written in English.",confirmed (agency roster)
2008,Amir Gutfreund,The World a Moment Later,The Toby Press,ISRAELI-LITERARY,Hebrew,"Publishers Weekly review (ISBN 978-1-59264-251-9) lists 'Toby, $24.95 (497p)', trans. Jessica Cohen, reviewed 09/29/2008, '(Nov.)': https://www.publishersweekly.com/978-1-59264-251-9 . Harris rep confirmed via DHA roster/profile. Novel (Hebrew orig. 2005). FLAG: Toby Press US-imprint (New Milford, CT).",confirmed (agency roster)
2008,Ron Leshem,Beaufort,Delacorte Press,ISRAELI-LITERARY,Hebrew,"thedeborahharrisagency.com/authors/ron-leshem + agency fiction catalog. Delacorte Press 2008, trans. Evan Fallenberg.",confirmed (agency roster)
2008,Matt Rees,A Grave in Gaza (Omar Yussef #2),Soho Press (Soho Crime),COMMERCIAL/GENRE,English,Matt Rees on agency author page. Soho Crime 2008. Mystery.,confirmed (QC-verified deal)
2009,Yoel Hoffmann,Curriculum Vitae,New Directions,ISRAELI-LITERARY,Hebrew,Hoffmann on agency author page. ndbooks.com/author/yoel-hoffmann; New Directions 2009 (trans. Peter Cole).,confirmed (agency roster)
2009,Matt Rees,The Samaritan's Secret (Omar Yussef #3),Soho Press (Soho Crime),COMMERCIAL/GENRE,English,Matt Rees on agency author page. Soho Crime 2009. Mystery.,confirmed (QC-verified deal)
2010,Michal Govrin,Hold on to the Sun: True Stories and Tales,The Feminist Press at CUNY,ISRAELI-LITERARY,Hebrew,"Feminist Press at CUNY, Nov 2010, ISBN 978-1-55861-673-8: https://openroadmedia.com/ebook/hold-on-to-the-sun/9781558616745 . Govrin's Harris representation as above. FLAG: single-author collection but MIXED genre (short stories, essays, legends, poetry), not a pure literary short-story collection; borderline include/exclude.",confirmed (agency roster)
2010,David Grossman,To the End of the Land,Alfred A. Knopf,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Knopf 2010 (https://en.wikipedia.org/wiki/To_the_End_of_the_Land). Novel, trans. from Hebrew.",confirmed (agency roster)
2010,Yael Hedaya,Eden,Metropolitan Books,ISRAELI-LITERARY,Hebrew,"Jewish Book Council lists 'Metropolitan Books, 2010' (ISBN 9780805092653, trans. Jessica Cohen; Picador paperback 2011): https://www.jewishbookcouncil.org/book/eden . Harris rep: https://www.thedeborahharrisagency.com/author . Novel.",confirmed (agency roster)
2010,Matt Rees,The Fourth Assassin (Omar Yussef #4),Soho Press (Soho Crime),COMMERCIAL/GENRE,English,Matt Rees on agency author page. Soho Crime 2010. Mystery.,confirmed (QC-verified deal)
2010,Yishai Sarid,Limassol,Europa Editions,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed: Yishai Sarid on Deborah Harris Agency roster (https://www.thedeborahharrisagency.com/author). US pub: Europa Editions (New York) 2010, trans. Barbara Harshav (https://www.europaeditions.com/book/9781609450007/limassol). Literary/spy novel, trans. from Hebrew.",confirmed (agency roster)
2010,Zeruya Shalev,Thera,Toby Press,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Toby Press (US-based, New Milford, CT), 2010 (https://www.abebooks.com/9781592642663/). Novel, trans. from Hebrew.",confirmed (agency roster)
2011,Evan Fallenberg,When We Danced on Water,Harper Perennial (HarperCollins),ENGLISH-LITERARY,English,Listed on DHA fiction roster; https://www.thedeborahharrisagency.com/fiction ; Fallenberg writes in English (also a Hebrew translator). https://en.wikipedia.org/wiki/Evan_Fallenberg,confirmed (agency roster)
2012,Sayed Kashua,Second Person Singular,Grove Press,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Grove Press 2012 (https://groveatlantic.com/book/second-person-singular/). Novel, trans. from Hebrew (UK title: Exposure).",confirmed (agency roster)
2013,Ofir Touche Gafla,The World of the End,Tor Books,COMMERCIAL/GENRE,Hebrew,Gafla on agency author page. Tor Books June 25 2013 (trans. Mitch Ginsburg). Fantasy/SF; Geffen Award winner.,confirmed (agency roster)
2013,Zeruya Shalev,The Remains of Love,Bloomsbury USA,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Bloomsbury USA 2013 (https://www.publishersweekly.com/pw/authorpage/zeruya-shalev.html). Novel, trans. from Hebrew.",confirmed (agency roster)
2014,David Grossman,Falling Out of Time,Alfred A. Knopf,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Knopf 2014 (https://en.wikipedia.org/wiki/David_Grossman). NOTE: genre-hybrid prose/verse/drama work published as fiction (borderline vs. strict novel definition), trans. from Hebrew.",confirmed (agency roster)
2015,Yoel Hoffmann,Moods,New Directions,ISRAELI-LITERARY,Hebrew,Hoffmann on agency author page. New Directions 2015 (trans. Peter Cole).,confirmed (agency roster)
2015,Rachel A. Marks,Darkness Brutal (The Dark Cycle #1),Skyscape (Amazon Publishing),YA,English,Dedicated DHA book page https://www.thedeborahharrisagency.com/darkness-brutal ; Rossner named as agent. Upper-YA urban fantasy.,confirmed (agency roster)
2015,Leah Scheier,Your Voice Is All I Hear,Sourcebooks Fire,YA,English,PW Rights Report week of May 12 2014: Rossner/DHA sold world English to Sourcebooks Fire. Pub 2015 (9781492614418).,confirmed (agency roster)
2016,Yiftach Reicher Atir,The English Teacher,Penguin Books,COMMERCIAL/GENRE,Hebrew,Reicher-Atir on agency author page. penguinrandomhouse.com/books/530455; Penguin Books Aug 30 2016 (trans. Philip Simpson). Spy thriller; Washington Post best thriller 2016.,confirmed (QC-verified deal)
2016,Natalie Blitt,The Distance from A to Z,HarperTeen / Epic Reads Impulse,YA,English,"writeforapples.com and thesweetsixteens interviews confirm Blitt repped by Rena Rossner, DHA. HarperCollins/Epic Reads Impulse Jan 12 2016.",confirmed (agency roster)
2016,Amy Gottlieb,The Beautiful Possible,Harper Perennial (HarperCollins),ENGLISH-LITERARY,English,"On Rossner's own client roster (renarossner.weebly.com/clients.html, Wayback 2023-10-04); dedicated DHA book page https://www.thedeborahharrisagency.com/the-beautifu-possible ; Harper Perennial ed., Natl Jewish Book Award Debut Fiction finalist. Strongest/cleanest literary case.",confirmed (agency roster)
2016,Naomi Ben-Gur,The Cricket and the Ant,Kar-Ben Publishing,CHILDRENS,Hebrew,Hebrew-fiction bibliography (US ed. verified); Harris roster author,confirmed (agency roster)
2016,Ben Guterson,Winterhouse,Henry Holt Books for Young Readers (Macmillan),CHILDRENS,English,"Author interview: Rossner sent MS out, Christy Ottaviano at Holt offered a 3-book deal; https://medium.com/@stevepeha/introduction-f3610a82a3c5 ; https://www.publishersweekly.com/9781250123886 . Middle-grade. | PM Harris deal record",confirmed (agency roster)
2016,Mark Noce,Between Two Fires,Thomas Dunne Books / St. Martin's Press,COMMERCIAL/GENRE,English,"On Rossner's client roster; also listed on DHA fiction roster (https://www.thedeborahharrisagency.com/fiction). Commercial historical fiction (medieval Wales), St. Martin's 2016.",confirmed (agency roster)
2016,Meir Shalev,Two She-Bears,Schocken Books,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Schocken 2016 (https://www.penguinrandomhouse.com/books/242956/two-she-bears-by-meir-shalev/). Novel, trans. from Hebrew.",confirmed (agency roster)
2016,Anat Talshir,About the Night,Amazon Crossing,COMMERCIAL/GENRE,Hebrew,"Talshir on agency author page. Amazon Crossing June 2016 (1503936031, trans. Evan Fallenberg). Historical romance.",confirmed (agency roster)
2017,Catherine Cerveny,The Rule of Luck,Orbit (Hachette),COMMERCIAL/GENRE,English,"On Rossner's client roster; listed on DHA fiction roster. Science-fiction romance, Orbit 2017.",confirmed (agency roster)
2017,Beth Dranoff,Mark of the Moon (Mark of the Moon #1),Carina Press (Harlequin),COMMERCIAL/GENRE,English,"bethdranoff.com/contact lists 'Rena Bunder Rossner, The Deborah Harris Agency.' Carina Press Feb 6 2017. Urban fantasy.",confirmed (agency roster)
2017,David Grossman,A Horse Walks into a Bar,Alfred A. Knopf,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Knopf 2017 (https://en.wikipedia.org/wiki/A_Horse_Walks_into_a_Bar). Novel, trans. from Hebrew. Won Man Booker International Prize 2017.",confirmed (agency roster)
2017,Amir Gutfreund,The Last Bullet Calls It,Amazon Crossing,ISRAELI-LITERARY,Hebrew,Hebrew-fiction bibliography (US ed. verified); Harris roster author,confirmed (agency roster)
2017,Nir Hezroni,Three Envelopes (Agent 10483 #1),St. Martin's Press / Thomas Dunne Books,COMMERCIAL/GENRE,Hebrew,Hezroni on agency author page. PW 9781250097590; us.macmillan.com; US hardcover 2017. Thriller.,confirmed (agency roster)
2017,Yirmi Pinkus,Petty Business,Syracuse University Press,ISRAELI-LITERARY,Hebrew,Pinkus on agency author page. press.syr.edu (Judaic Traditions in Literature series); 2017 (trans. Evan Fallenberg & Yardenne Greenspan).,confirmed (agency roster)
2017,Dorit Rabinyan,All the Rivers,Random House,ISRAELI-LITERARY,Hebrew,Hebrew-fiction bibliography (US ed. verified); Harris roster author,confirmed (agency roster)
2017,Nic Stone,Dear Martin,Crown Books for Young Readers (Random House),YA,English,Rossner/DHA co-brokered North American rights; https://www.publishersweekly.com/9781101939499 . Stone has since changed agents.,confirmed (QC-verified deal)
2018,Yoav Blum,Coincidence Makers,St. Martin's,COMMERCIAL/GENRE,Hebrew,Hebrew-fiction bibliography (US ed. verified); Harris roster author,confirmed (agency roster)
2018,Ryan Calejo,Charlie Hernandez & the League of Shadows,Aladdin (Simon & Schuster),CHILDRENS,English,"PW Rights Report week of Sept 11 2017: Fiona Simpson at S&S acquired world rights in a two-book preempt, 'Rena Rossner at the Deborah Harris Agency negotiated the deal.' Aladdin Oct 2018 (9781534426580). MG fantasy.",confirmed (agency roster)
2018,Nir Hezroni,Last Instructions,St. Martin's,COMMERCIAL/GENRE,Hebrew,Hebrew-fiction bibliography (US ed. verified); Harris roster author,confirmed (agency roster)
2019,Chris Baron,All of Me,Feiwel & Friends (Macmillan),CHILDRENS,English,"chris-baron.com/about-chris: 'represented by Rena Rossner from the Deborah Harris Literary Agency.' PM: Liz Szabla at Feiwel bought two MG novels, Rossner/DHA NA two-book deal; pub June 2019 (9781250305985). MG novel-in-verse.",confirmed (agency roster)
2019,Eyal Kless,The Lost Puzzler,Harper Voyager (HarperCollins),COMMERCIAL/GENRE,Hebrew,PW Book Deals 2017: David Pomerico at Harper Voyager signed World English in a two-book deal from Rena Rossner/Deborah Harris; https://www.publishersweekly.com/978-0-06-279243-3 . Post-apocalyptic SF.,confirmed (agency roster)
2019,Cory Leonardo,The Simple Art of Flying,Aladdin (Simon & Schuster),CHILDRENS,English,Deborah Harris Agency page lists title (North America: Simon & Schuster/Aladdin); From the Mixed-Up Files 'Agent Spotlight: Rena Rossner' confirms rep. Aladdin Feb 12 2019 (9781534420991). MG.,confirmed (agency roster)
2019,Sofiya Pasternack,Anya and the Dragon,Versify / Houghton Mifflin Harcourt,CHILDRENS,English,sofiyapasternack.com/press-kit (Rossner/DHA rep) + PW 978-0-358-00607-7 (Versify/HMH 2019). Middle-grade fantasy.,confirmed (agency roster)
2019,Zeruya Shalev,Pain,Other Press,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Other Press 2019 (https://otherpress.com/author/zeruya-shalev-2196302/). Novel, trans. from Hebrew.",confirmed (agency roster)
2020,Sayed Kashua,Track Changes,Grove Press,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Grove Press 2020 (https://groveatlantic.com/book/track-changes/). Novel, trans. from Hebrew.",confirmed (agency roster)
2020,Eyal Kless,The Puzzler's War,Harper Voyager (HarperCollins),COMMERCIAL/GENRE,Hebrew,"Book 2 of the Tarakan Chronicles, same Harper Voyager two-book deal via Rossner/DHA; listed on DHA fiction roster.",confirmed (agency roster)
2020,Sofiya Pasternack,Anya and the Nightingale,Versify / Houghton Mifflin Harcourt,CHILDRENS,English,"sofiyapasternack.com/press-kit (Rossner/DHA; Versify/HMH). Middle-grade fantasy, follow-on to Book 1.",confirmed (agency roster)
2020,Yishai Sarid,The Memory Monster,Restless Books,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Restless Books 2020 (https://restlessbooks.org/bookstore/the-memory-monster). Novel, trans. from Hebrew.",confirmed (agency roster)
2021,Isaac Blum,The Life and Crimes of Hoodie Rosen,Philomel Books (Penguin Random House),YA,English,"Rossner named as Blum's agent; https://www.penguinrandomhouse.com/books/704729/ . William C. Morris Award winner, Natl Book Award longlist. | PM Harris deal record",confirmed (agency roster)
2021,Courtne Comrie,Rain Rising,Harper Children's,CHILDRENS,English,PM Harris deal record,confirmed (QC-verified deal)
2021,Reem Faruqi,Unsettled,HarperCollins Children's,CHILDRENS,English,PM Harris deal record,confirmed (QC-verified deal)
2021,Iddo Gefen,Jerusalem Beach,Astra House,ISRAELI-LITERARY,Hebrew,Hebrew-fiction bibliography (US ed. verified); Harris roster author,confirmed (agency roster)
2021,David Grossman,More Than I Love My Life,Alfred A. Knopf,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Knopf 2021 (https://www.amazon.com/dp/0593318919). Novel, trans. from Hebrew.",confirmed (agency roster)
2021,Yaniv Iczkovits,The Slaughterman's Daughter,Schocken Books,ISRAELI-LITERARY,Hebrew,"US publisher/date on Penguin Random House product page ('Published Feb 23, 2021, by Schocken', Knopf Doubleday/PRH): https://www.penguinrandomhouse.com/books/653815/the-slaughtermans-daughter-by-yaniv-iczkovits/ . Harris rep confirmed by DHA author profile + DHA Facebook post announcing the book. Novel, trans. Orr Scharf (Hebrew orig. 2015). Note: UK edition (MacLehose, 2020) preceded US 2021 edition.",confirmed (agency roster)
2021,Lori Banov Kaufmann,Rebel Daughter,Delacorte Press (Random House),YA,English,"On Rossner's client roster. YA historical fiction (Roman siege of Jerusalem), Delacorte 2021.",confirmed (agency roster)
2021,Amber McBride,Me (Moth),Feiwel & Friends (Macmillan),YA,English,"On Rossner's client roster. YA novel-in-verse, National Book Award finalist, Feiwel & Friends 2021.",confirmed (QC-verified deal)
2022,J.R. Dawson,The First Bright Thing,Tor Books (Macmillan),COMMERCIAL/GENRE,English,"On Rossner's client roster (Wayback 2023-10-04); adult historical fantasy/SFF, Tor 2023. | PM Harris deal record",confirmed (PM deal record)
2022,Reem Faruqi,Call Me Adnan,Harper Children's,CHILDRENS,English,PM Harris deal record,confirmed (PM deal record)
2022,Sacha Lamb,When the Angels Left the Old Country,Levine Querido (Chronicle),YA,English,"On Rossner's client roster (Wayback 2023-10-04). YA (Stonewall Book Award, National Jewish Book Award, Sydney Taylor Award). Levine Querido 2022.",confirmed (agency roster)
2022,Amber McBride,Gone Wolf,Feiwel and Friends,YA,English,PM Harris deal record,confirmed (PM deal record)
2022,Yishai Sarid,Victorious,Restless Books,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Restless Books 2022 (https://restlessbooks.org/). Novel, trans. from Hebrew.",confirmed (agency roster)
2023,Hila Blum,How to Love Your Daughter,Riverhead Books,ISRAELI-LITERARY,Hebrew,"Hila Blum on agency author page. Riverhead Books July 18 2023 (trans. Daniella Zamir); Sapir Prize winner. Note: 2023, recent (outside window but not in seed).",confirmed (agency roster)
2023,Hannah Deitch,Killer Potential,William Morrow,COMMERCIAL/GENRE,English,PM Harris deal record,confirmed (PM deal record)
2023,Dara Henry,Hanukkah Pajamakkahs,Jabberwocky,CHILDRENS,English,PM Harris deal record,confirmed (QC-verified deal)
2023,Alicia Jasinska,This Fatal Kiss,Peachtree Teen,YA,English,PM Harris deal record,confirmed (QC-verified deal)
2023,Maura Jortner,Keepers of the Marsh,Holiday House,CHILDRENS,English,PM Harris deal record,confirmed (agency roster)
2023,Maya Kessler,Rosenfeld,Avid Reader Press / Simon & Schuster,ISRAELI-LITERARY,Hebrew,"Publishers Marketplace deal record (pm_seed): 'Maya Kessler's ROSENFELD ... to Margo Shickmanter at Avid Reader Press ... by Jessica Kasmer-Jacobs at Deborah Harris Agency' — confirms both US publisher and Harris rep (agent Jessica Kasmer-Jacobs). US pub date Nov 19 2024 confirmed via Simon & Schuster (https://www.simonandschuster.com/books/Rosenfeld/Maya-Kessler/9781668053478) and Amazon (ISBN 9781668053454). Novel, trans. Maya Thomas (Hebrew orig. 2022). | PM Harris deal record",confirmed (agency roster)
2023,Dana Kramaroff,The Do More Club,Dial,CHILDRENS,English,PM Harris deal record,confirmed (QC-verified deal)
2023,Ally Malinenko,Broken Dolls,Harper Children's,CHILDRENS,English,PM Harris deal record,confirmed (agency roster)
2023,Jaya Mehta & Susan Lynn Meyer,Nisha's Just-right Christmas Tree,Beaming Books,CHILDRENS,English,PM Harris deal record,confirmed (QC-verified deal)
2023,"Linda Epstein, Ally Malinenko & Liz Parker",The Other March Sisters,Kensington,COMMERCIAL/GENRE,English,PM Harris deal record,confirmed (QC-verified deal)
2023,Benjamin Resnick,Next Stop,Avid Reader Press (Simon & Schuster),ENGLISH-LITERARY,English,DHA fiction page lists 'USA: Avid Reader Press (World English)'; https://www.thedeborahharrisagency.com/fiction/next-stop and author page https://www.thedeborahharrisagency.com/authors/benjamin-resnick | PM Harris deal record,confirmed (agency roster)
2023,R.M. Romero,Death's Country,Peachtree Teen,YA,English,PM Harris deal record,confirmed (QC-verified deal)
2023,Eli Zuzovsky,Mazeltov,Henry Holt (Macmillan),ENGLISH-LITERARY,English,DHA fiction page lists rights 'USA: Holt (NA)'; https://www.thedeborahharrisagency.com/fiction/mazeltov ; Macmillan/Holt author page https://us.macmillan.com/books/9781250345271/mazeltov/ | PM Harris deal record,confirmed (agency roster)
2024,Isaac Blum,Out of the Clear Blue Sky,Philomel,YA,English,PM Harris deal record,confirmed (agency roster)
2024,Tehila Hakimi,Hunting in America,Penguin Books,ISRAELI-LITERARY,Hebrew,"Publishers Marketplace deal record (pm_seed): 'Tehila Hakimi's HUNTING IN AMERICA ... to Camille LeBlanc at Penguin ... by Geula Geurts at Deborah Harris Agency (world English)' — confirms US publisher and Harris rep (agent Geula Geurts). US pub July 22 2025 confirmed via Penguin Random House (https://www.penguinrandomhouse.com/books/769300/hunting-in-america-by-tehila-hakimi-translated-by-joanna-chen/), ISBN 9780143138662. Novel, trans. Joanna Chen. Also on current DHA author roster. | PM Harris deal record",confirmed (agency roster)
2024,Jess Hernandez,I Want to Dance in Pants,Sleeping Bear Press,CHILDRENS,English,PM Harris deal record,confirmed (QC-verified deal)
2024,R.M. Romero,The Tear Collector,Little,YA,English,PM Harris deal record,confirmed (PM deal record)
2024,Yishai Sarid,The Third Temple,Restless Books,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Restless Books 2024 (https://restlessbooks.org/bookstore/the-third-temple; https://www.amazon.com/dp/1632063891). Novel, trans. from Hebrew.",confirmed (agency roster)
2024,Galina Vromen,Hill of Secrets,Lake Union Publishing (Amazon Publishing),COMMERCIAL/GENRE,English,"DHA fiction page (https://www.thedeborahharrisagency.com/fiction/hill-of-secrets); author interview confirms original title 'Nuclear Families' and Deborah Harris rep. Los Alamos WWII historical fiction from Amazon's commercial imprint (borderline upmarket/book-club, not literary).",confirmed (QC-verified deal)
2025,Katya de Becerra,Little Kin,Blackstone Publishing,COMMERCIAL/GENRE,English,PM Harris deal record,confirmed (agency roster)
2025,Iddo Gefen,Mrs. Lilienblum's Cloud Factory,Astra House,ISRAELI-LITERARY,Hebrew,Hebrew-fiction bibliography (US ed. verified); Harris roster author,confirmed (agency roster)
2025,Naomi Gruer & Mel Zohar,Hear Me Roar! (I'm a Hanukkahsaur),Kalaniot,CHILDRENS,English,PM Harris deal record,confirmed (QC-verified deal)
2026,Alina Adams,Admit None,Lake Union Publishing,COMMERCIAL/GENRE,English,PM Harris deal record,confirmed (PM deal record)
2026,Dara Henry,A Together Place,Jabberwocky,CHILDRENS,English,PM Harris deal record,confirmed (QC-verified deal)
2026,Sacha Lamb,Traitor's Alchemy,Levine Querido,YA,English,PM Harris deal record,confirmed (agency roster)
2026,Nastya Ryabtseva,Theodore the Hedgehog Finds a Friend,WorthyKids,CHILDRENS,English,PM Harris deal record,confirmed (QC-verified deal)
2026,Zeruya Shalev,Fate,Other Press,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Other Press, forthcoming Sept 29 2026 (https://www.penguinrandomhouse.com/books/828257/fate-by-zeruya-shalev/). NOTE: confirmed US deal but not yet published as of 2026-07-30. Novel, trans. from Hebrew.",confirmed (agency roster)
2026,Vesper Stamper,What Hilma Saw,Abrams Children's,YA,English,PM Harris deal record,confirmed (QC-verified deal)
