Year,Author,Title,US Publisher,Category,Source language,Harris evidence,Confidence
2006,Amir Gutfreund,Our Holocaust,The Toby Press,ISRAELI-LITERARY,Hebrew,"Toby Press 2006 US edition (New Milford, CT) confirmed via USHMM catalog (https://collections.ushmm.org/search/catalog/bib117124), AbeBooks first-edition listing, Wikipedia. Harris rep confirmed by DHA author roster/profile: https://www.thedeborahharrisagency.com/authors/amir-gutfreund . Novel, trans. Jessica Cohen (Hebrew orig. 'Shoah Shelanu', 2000). FLAG: Toby Press has CT + London offices; treated as US publisher on its New Milford, CT imprint.",confirmed (agency roster)
2006,Sayed Kashua,Let It Be Morning,Grove Press (Black Cat),ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Grove Press/Black Cat 2006 (https://groveatlantic.com/book/let-it-be-morning/; https://www.amazon.com/dp/0802170218). Novel, trans. from Hebrew.",confirmed (agency roster)
2007,Michal Govrin,Snapshots,Riverhead Books,ISRAELI-LITERARY,Hebrew,"US publisher/year via Penguin Random House (https://www.penguinrandomhouse.com/books/292531/snapshots-by-michal-govrin/) and DHA's own book page listing 'Riverhead NY' (https://www.thedeborahharrisagency.com/fiction/snapshots). Harris rep confirmed on current + archived DHA author rosters. Novel. (Govrin's 'The Name', Riverhead 1998, excluded as pre-2000.)",confirmed (agency roster)
2007,Meir Shalev,A Pigeon and a Boy,Schocken Books,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed: Meir Shalev on Deborah Harris Agency roster (https://www.thedeborahharrisagency.com/author; page https://www.thedeborahharrisagency.com/authors/meir-shalev). US pub: Schocken 2007 (https://www.jewishbookcouncil.org/book/a-pigeon-and-a-boy). Novel, trans. from Hebrew.",confirmed (agency roster)
2008,Evan Fallenberg,Light Fell,Soho Press,ENGLISH-LITERARY,English,"Listed on DHA fiction roster; https://www.thedeborahharrisagency.com/fiction ; debut novel, Soho Press 2008 (Stonewall Book Award). Written in English.",confirmed (agency roster)
2008,Amir Gutfreund,The World a Moment Later,The Toby Press,ISRAELI-LITERARY,Hebrew,"Publishers Weekly review (ISBN 978-1-59264-251-9) lists 'Toby, $24.95 (497p)', trans. Jessica Cohen, reviewed 09/29/2008, '(Nov.)': https://www.publishersweekly.com/978-1-59264-251-9 . Harris rep confirmed via DHA roster/profile. Novel (Hebrew orig. 2005). FLAG: Toby Press US-imprint (New Milford, CT).",confirmed (agency roster)
2008,Ron Leshem,Beaufort,Delacorte Press,ISRAELI-LITERARY,Hebrew,"thedeborahharrisagency.com/authors/ron-leshem + agency fiction catalog. Delacorte Press 2008, trans. Evan Fallenberg.",confirmed (agency roster)
2009,Yoel Hoffmann,Curriculum Vitae,New Directions,ISRAELI-LITERARY,Hebrew,Hoffmann on agency author page. ndbooks.com/author/yoel-hoffmann; New Directions 2009 (trans. Peter Cole).,confirmed (agency roster)
2010,Michal Govrin,Hold on to the Sun: True Stories and Tales,The Feminist Press at CUNY,ISRAELI-LITERARY,Hebrew,"Feminist Press at CUNY, Nov 2010, ISBN 978-1-55861-673-8: https://openroadmedia.com/ebook/hold-on-to-the-sun/9781558616745 . Govrin's Harris representation as above. FLAG: single-author collection but MIXED genre (short stories, essays, legends, poetry), not a pure literary short-story collection; borderline include/exclude.",confirmed (agency roster)
2010,David Grossman,To the End of the Land,Alfred A. Knopf,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Knopf 2010 (https://en.wikipedia.org/wiki/To_the_End_of_the_Land). Novel, trans. from Hebrew.",confirmed (agency roster)
2010,Yael Hedaya,Eden,Metropolitan Books,ISRAELI-LITERARY,Hebrew,"Jewish Book Council lists 'Metropolitan Books, 2010' (ISBN 9780805092653, trans. Jessica Cohen; Picador paperback 2011): https://www.jewishbookcouncil.org/book/eden . Harris rep: https://www.thedeborahharrisagency.com/author . Novel.",confirmed (agency roster)
2010,Yishai Sarid,Limassol,Europa Editions,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed: Yishai Sarid on Deborah Harris Agency roster (https://www.thedeborahharrisagency.com/author). US pub: Europa Editions (New York) 2010, trans. Barbara Harshav (https://www.europaeditions.com/book/9781609450007/limassol). Literary/spy novel, trans. from Hebrew.",confirmed (agency roster)
2010,Zeruya Shalev,Thera,Toby Press,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Toby Press (US-based, New Milford, CT), 2010 (https://www.abebooks.com/9781592642663/). Novel, trans. from Hebrew.",confirmed (agency roster)
2011,Evan Fallenberg,When We Danced on Water,Harper Perennial (HarperCollins),ENGLISH-LITERARY,English,Listed on DHA fiction roster; https://www.thedeborahharrisagency.com/fiction ; Fallenberg writes in English (also a Hebrew translator). https://en.wikipedia.org/wiki/Evan_Fallenberg,confirmed (agency roster)
2012,Sayed Kashua,Second Person Singular,Grove Press,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Grove Press 2012 (https://groveatlantic.com/book/second-person-singular/). Novel, trans. from Hebrew (UK title: Exposure).",confirmed (agency roster)
2013,Zeruya Shalev,The Remains of Love,Bloomsbury USA,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Bloomsbury USA 2013 (https://www.publishersweekly.com/pw/authorpage/zeruya-shalev.html). Novel, trans. from Hebrew.",confirmed (agency roster)
2014,David Grossman,Falling Out of Time,Alfred A. Knopf,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Knopf 2014 (https://en.wikipedia.org/wiki/David_Grossman). NOTE: genre-hybrid prose/verse/drama work published as fiction (borderline vs. strict novel definition), trans. from Hebrew.",confirmed (agency roster)
2015,Yoel Hoffmann,Moods,New Directions,ISRAELI-LITERARY,Hebrew,Hoffmann on agency author page. New Directions 2015 (trans. Peter Cole).,confirmed (agency roster)
2016,Amy Gottlieb,The Beautiful Possible,Harper Perennial (HarperCollins),ENGLISH-LITERARY,English,"On Rossner's own client roster (renarossner.weebly.com/clients.html, Wayback 2023-10-04); dedicated DHA book page https://www.thedeborahharrisagency.com/the-beautifu-possible ; Harper Perennial ed., Natl Jewish Book Award Debut Fiction finalist. Strongest/cleanest literary case.",confirmed (agency roster)
2016,Meir Shalev,Two She-Bears,Schocken Books,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Schocken 2016 (https://www.penguinrandomhouse.com/books/242956/two-she-bears-by-meir-shalev/). Novel, trans. from Hebrew.",confirmed (agency roster)
2017,David Grossman,A Horse Walks into a Bar,Alfred A. Knopf,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Knopf 2017 (https://en.wikipedia.org/wiki/A_Horse_Walks_into_a_Bar). Novel, trans. from Hebrew. Won Man Booker International Prize 2017.",confirmed (agency roster)
2017,Amir Gutfreund,The Last Bullet Calls It,Amazon Crossing,ISRAELI-LITERARY,Hebrew,Hebrew-fiction bibliography (US ed. verified); Harris roster author,confirmed (agency roster)
2017,Yirmi Pinkus,Petty Business,Syracuse University Press,ISRAELI-LITERARY,Hebrew,Pinkus on agency author page. press.syr.edu (Judaic Traditions in Literature series); 2017 (trans. Evan Fallenberg & Yardenne Greenspan).,confirmed (agency roster)
2017,Dorit Rabinyan,All the Rivers,Random House,ISRAELI-LITERARY,Hebrew,Hebrew-fiction bibliography (US ed. verified); Harris roster author,confirmed (agency roster)
2019,Zeruya Shalev,Pain,Other Press,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Other Press 2019 (https://otherpress.com/author/zeruya-shalev-2196302/). Novel, trans. from Hebrew.",confirmed (agency roster)
2020,Sayed Kashua,Track Changes,Grove Press,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Grove Press 2020 (https://groveatlantic.com/book/track-changes/). Novel, trans. from Hebrew.",confirmed (agency roster)
2020,Yishai Sarid,The Memory Monster,Restless Books,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Restless Books 2020 (https://restlessbooks.org/bookstore/the-memory-monster). Novel, trans. from Hebrew.",confirmed (agency roster)
2021,Iddo Gefen,Jerusalem Beach,Astra House,ISRAELI-LITERARY,Hebrew,Hebrew-fiction bibliography (US ed. verified); Harris roster author,confirmed (agency roster)
2021,David Grossman,More Than I Love My Life,Alfred A. Knopf,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Knopf 2021 (https://www.amazon.com/dp/0593318919). Novel, trans. from Hebrew.",confirmed (agency roster)
2021,Yaniv Iczkovits,The Slaughterman's Daughter,Schocken Books,ISRAELI-LITERARY,Hebrew,"US publisher/date on Penguin Random House product page ('Published Feb 23, 2021, by Schocken', Knopf Doubleday/PRH): https://www.penguinrandomhouse.com/books/653815/the-slaughtermans-daughter-by-yaniv-iczkovits/ . Harris rep confirmed by DHA author profile + DHA Facebook post announcing the book. Novel, trans. Orr Scharf (Hebrew orig. 2015). Note: UK edition (MacLehose, 2020) preceded US 2021 edition.",confirmed (agency roster)
2022,Yishai Sarid,Victorious,Restless Books,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Restless Books 2022 (https://restlessbooks.org/). Novel, trans. from Hebrew.",confirmed (agency roster)
2023,Hila Blum,How to Love Your Daughter,Riverhead Books,ISRAELI-LITERARY,Hebrew,"Hila Blum on agency author page. Riverhead Books July 18 2023 (trans. Daniella Zamir); Sapir Prize winner. Note: 2023, recent (outside window but not in seed).",confirmed (agency roster)
2023,Maya Kessler,Rosenfeld,Avid Reader Press / Simon & Schuster,ISRAELI-LITERARY,Hebrew,"Publishers Marketplace deal record (pm_seed): 'Maya Kessler's ROSENFELD ... to Margo Shickmanter at Avid Reader Press ... by Jessica Kasmer-Jacobs at Deborah Harris Agency' — confirms both US publisher and Harris rep (agent Jessica Kasmer-Jacobs). US pub date Nov 19 2024 confirmed via Simon & Schuster (https://www.simonandschuster.com/books/Rosenfeld/Maya-Kessler/9781668053478) and Amazon (ISBN 9781668053454). Novel, trans. Maya Thomas (Hebrew orig. 2022). | PM Harris deal record",confirmed (agency roster)
2023,Benjamin Resnick,Next Stop,Avid Reader Press (Simon & Schuster),ENGLISH-LITERARY,English,DHA fiction page lists 'USA: Avid Reader Press (World English)'; https://www.thedeborahharrisagency.com/fiction/next-stop and author page https://www.thedeborahharrisagency.com/authors/benjamin-resnick | PM Harris deal record,confirmed (agency roster)
2023,Eli Zuzovsky,Mazeltov,Henry Holt (Macmillan),ENGLISH-LITERARY,English,DHA fiction page lists rights 'USA: Holt (NA)'; https://www.thedeborahharrisagency.com/fiction/mazeltov ; Macmillan/Holt author page https://us.macmillan.com/books/9781250345271/mazeltov/ | PM Harris deal record,confirmed (agency roster)
2024,Tehila Hakimi,Hunting in America,Penguin Books,ISRAELI-LITERARY,Hebrew,"Publishers Marketplace deal record (pm_seed): 'Tehila Hakimi's HUNTING IN AMERICA ... to Camille LeBlanc at Penguin ... by Geula Geurts at Deborah Harris Agency (world English)' — confirms US publisher and Harris rep (agent Geula Geurts). US pub July 22 2025 confirmed via Penguin Random House (https://www.penguinrandomhouse.com/books/769300/hunting-in-america-by-tehila-hakimi-translated-by-joanna-chen/), ISBN 9780143138662. Novel, trans. Joanna Chen. Also on current DHA author roster. | PM Harris deal record",confirmed (agency roster)
2024,Yishai Sarid,The Third Temple,Restless Books,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Restless Books 2024 (https://restlessbooks.org/bookstore/the-third-temple; https://www.amazon.com/dp/1632063891). Novel, trans. from Hebrew.",confirmed (agency roster)
2025,Iddo Gefen,Mrs. Lilienblum's Cloud Factory,Astra House,ISRAELI-LITERARY,Hebrew,Hebrew-fiction bibliography (US ed. verified); Harris roster author,confirmed (agency roster)
2026,Zeruya Shalev,Fate,Other Press,ISRAELI-LITERARY,Hebrew,"Harris rep confirmed (Deborah Harris Agency roster, https://www.thedeborahharrisagency.com/author). US pub: Other Press, forthcoming Sept 29 2026 (https://www.penguinrandomhouse.com/books/828257/fate-by-zeruya-shalev/). NOTE: confirmed US deal but not yet published as of 2026-07-30. Novel, trans. from Hebrew.",confirmed (agency roster)
